# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
6.740227531285551521e+00,4.108007685187789093e+02,6.206054493227325111e+02,4.198157817759044406e+02,5.710042920874547008e+02,4.183197551161973138e+02,5.792355227534382038e+02
6.773594994311717521e+00,4.092721504727907131e+02,6.048929314311001235e+02,4.211206368819141517e+02,5.436049220042264096e+02,4.191543999960231872e+02,5.537755666449764931e+02
6.806962457337883521e+00,4.112495832711234698e+02,5.903255101947280536e+02,4.222008964149463282e+02,5.176540661070334863e+02,4.203835439556408460e+02,5.297137730937290598e+02
6.840329920364049521e+00,4.155849336159073459e+02,5.763619783533112013e+02,4.236813781593505155e+02,4.933183368639208766e+02,4.223377864590531772e+02,5.070992930439975339e+02
6.873697383390216409e+00,4.249185267106616379e+02,5.678238069226410971e+02,4.259234170362402097e+02,4.706390897484568541e+02,4.257566571334043033e+02,4.867667343088425014e+02
6.907064846416382409e+00,4.398487583019789326e+02,5.583414280267678578e+02,4.297336808083944106e+02,4.505160000377454708e+02,4.314122613483843907e+02,4.684094531777001293e+02
6.940432309442548409e+00,4.584744315780236548e+02,5.562117527263351349e+02,4.359510981047075688e+02,4.325982087812008672e+02,4.396888084096249258e+02,4.531116739651382659e+02
6.973799772468714409e+00,4.778236286437661988e+02,5.489727381123069563e+02,4.449872863580584408e+02,4.180564026111664475e+02,4.504364236032181452e+02,4.397817541613478056e+02
7.007167235494880408e+00,4.953301546728071116e+02,5.454968595871946491e+02,4.566685945133282871e+02,4.056791425425495845e+02,4.630844171470850483e+02,4.288816638560952015e+02
7.040534698521046408e+00,5.144027206073626530e+02,5.438842872322252333e+02,4.703623126705796835e+02,3.959579777725342069e+02,4.776707463104526141e+02,4.205061067959827596e+02
7.073902161547212408e+00,5.326331087462285723e+02,5.413527489241273543e+02,4.861035030942285289e+02,3.889814848723384557e+02,4.938250150427332414e+02,4.142672469048839616e+02
7.107269624573378408e+00,5.502604622582027787e+02,5.400665394768724354e+02,5.034809749649792820e+02,3.843109854379513877e+02,5.112439543822635528e+02,4.101583649218862320e+02
7.140637087599544408e+00,5.668941907471569266e+02,5.391075842958093745e+02,5.221587003509503120e+02,3.819264714360623998e+02,5.295824818425445528e+02,4.080104201341038674e+02
7.174004550625711296e+00,5.851554861827399918e+02,5.398062789803682335e+02,5.417564707890095406e+02,3.816310711493871963e+02,5.489584664537565004e+02,4.078799883364289371e+02
7.207372013651877296e+00,5.961830929231765595e+02,5.338772663263943059e+02,5.624016478925672118e+02,3.834756937174767586e+02,5.680076234866747882e+02,4.084345888919435197e+02
7.240739476678043296e+00,6.101402268764907149e+02,5.327431019021364591e+02,5.826016122568491937e+02,3.859936255541840637e+02,5.871716003542654789e+02,4.103464613621949297e+02
7.274106939704209296e+00,6.208089618638824732e+02,5.283653788249616809e+02,6.028433790106281549e+02,3.899152228506656002e+02,6.058247381331739234e+02,4.128908000364116333e+02
7.307474402730375296e+00,6.276904210331858849e+02,5.289962888967176013e+02,6.224457884330655588e+02,3.944416809189044102e+02,6.233161266454962970e+02,4.167707983062785502e+02
